$GNGGA,UTC,Latitude,Direction_of_latitude,Longitude,Direction_of_longitude,GPS_Quality,Number_of_S,HDOP,altitude,Meters,Geoid_separation,Meters,Age_of_differential,checksum,$GNGST,UTC,RMS,semi-major,semi-minor,error_orientation,Lat_sigma_error,Long_sigma_error,Height_sigma_error,checksum,
$GNGGA,140158,3004.230532,N,3101.285565,E,5,13,0.7,76.643,M,15.52,M,1.4,*6A,$GNGST,140158,2.061,,,,0.05,0.034,0.065,*6A,
$GNGGA,140158.2,3004.230438,N,3101.285472,E,5,13,0.7,76.644,M,15.52,M,1.6,*61,$GNGST,140158.2,2.047,,,,0.05,0.034,0.065,*6C,
$GNGGA,140158.4,3004.230346,N,3101.28538,E,5,13,0.7,76.658,M,15.52,M,0.8,*6B,$GNGST,140158.4,2.097,,,,0.05,0.034,0.065,*67,
$GNGGA,140158.6,3004.230257,N,3101.285287,E,5,13,0.7,76.669,M,15.52,M,1,*68,$GNGST,140158.6,2.066,,,,0.05,0.034,0.065,*6B,
$GNGGA,140158.8,3004.230163,N,3101.2852,E,5,13,0.7,76.673,M,15.52,M,1.2,*61,$GNGST,140158.8,2.04,,,,0.05,0.034,0.065,*61,
$GNGGA,140159,3004.230077,N,3101.285103,E,5,13,0.7,76.689,M,15.52,M,1.4,*6D,$GNGST,140159,2.04,,,,0.05,0.034,0.065,*68,
$GNGGA,140159.2,3004.229986,N,3101.285017,E,5,14,0.7,76.698,M,15.52,M,0.6,*6C,$GNGST,140159.2,2.089,,,,0.049,0.034,0.064,*66,
$GNGGA,140159.4,3004.229895,N,3101.284921,E,5,14,0.7,76.716,M,15.52,M,0.8,*6C,$GNGST,140159.4,2.06,,,,0.049,0.034,0.064,*67,
$GNGGA,140159.6,3004.229805,N,3101.284824,E,5,14,0.7,76.724,M,15.52,M,1,*6E,$GNGST,140159.6,1.994,,,,0.049,0.034,0.064,*64,
$GNGGA,140159.8,3004.229713,N,3101.284729,E,5,14,0.7,76.727,M,15.52,M,1.2,*63,$GNGST,140159.8,1.961,,,,0.049,0.034,0.064,*60,
$GNGGA,140200,3004.229618,N,3101.284631,E,5,14,0.7,76.748,M,15.52,M,1.4,*63,$GNGST,140200,1.962,,,,0.049,0.034,0.064,*64,
$GNGGA,140200.2,3004.229526,N,3101.284531,E,5,14,0.7,76.741,M,15.52,M,1.6,*60,$GNGST,140200.2,1.879,,,,0.049,0.034,0.064,*6D,
$GNGGA,140200.4,3004.22943,N,3101.28443,E,5,14,0.7,76.742,M,15.52,M,1.8,*6D,$GNGST,140200.4,1.871,,,,0.049,0.034,0.064,*63,
$GNGGA,140200.6,3004.229338,N,3101.284332,E,5,14,0.7,76.751,M,15.52,M,1,*6E,$GNGST,140200.6,1.771,,,,0.049,0.033,0.063,*6E,
$GNGGA,140200.8,3004.229242,N,3101.284224,E,5,14,0.7,76.764,M,15.52,M,1.2,*62,$GNGST,140200.8,1.764,,,,0.049,0.033,0.063,*64,
$GNGGA,140201,3004.229139,N,3101.284114,E,5,14,0.7,76.783,M,15.52,M,1.4,*65,$GNGST,140201,1.776,,,,0.049,0.033,0.063,*6E,
$GNGGA,140201.2,3004.229036,N,3101.283998,E,5,14,0.7,76.797,M,15.52,M,0.6,*6A,$GNGST,140201.2,1.811,,,,0.049,0.033,0.063,*62,
$GNGGA,140201.4,3004.228925,N,3101.28388,E,5,14,0.7,76.822,M,15.52,M,0.8,*65,$GNGST,140201.4,1.804,,,,0.049,0.033,0.063,*60,
$GNGGA,140201.6,3004.228811,N,3101.28376,E,5,14,0.7,76.84,M,15.52,M,1,*6A,$GNGST,140201.6,1.826,,,,0.049,0.033,0.063,*62,
$GNGGA,140201.8,3004.228695,N,3101.283637,E,5,14,0.7,76.852,M,15.52,M,1.2,*62,$GNGST,140201.8,1.802,,,,0.049,0.033,0.063,*6A,
$GNGGA,140202,3004.228579,N,3101.283516,E,5,14,0.7,76.861,M,15.52,M,1.4,*6D,$GNGST,140202,1.748,,,,0.049,0.033,0.063,*60,
$GNGGA,140202.2,3004.228465,N,3101.283394,E,5,14,0.7,76.858,M,15.52,M,1.6,*62,$GNGST,140202.2,1.758,,,,0.048,0.033,0.063,*62,
$GNGGA,140202.4,3004.228351,N,3101.283275,E,5,14,0.7,76.871,M,15.52,M,0.8,*69,$GNGST,140202.4,1.766,,,,0.048,0.033,0.062,*68,
$GNGGA,140202.6,3004.228234,N,3101.283154,E,5,13,0.7,76.894,M,15.52,M,1,*6B,$GNGST,140202.6,1.808,,,,0.048,0.033,0.064,*6B,
$GNGGA,140202.8,3004.228113,N,3101.283029,E,5,14,0.7,76.938,M,15.52,M,1.2,*6B,$GNGST,140202.8,1.735,,,,0.048,0.033,0.062,*62,
$GNGGA,140203,3004.227991,N,3101.282905,E,5,14,0.7,76.952,M,15.52,M,1.4,*62,$GNGST,140203,1.698,,,,0.048,0.033,0.062,*6D,
$GNGGA,140203.2,3004.227873,N,3101.282782,E,5,14,0.7,76.968,M,15.52,M,1.6,*6C,$GNGST,140203.2,1.71,,,,0.048,0.033,0.062,*6E,
$GNGGA,140203.4,3004.227748,N,3101.282657,E,5,14,0.7,77.002,M,15.52,M,0.8,*6F,$GNGST,140203.4,1.769,,,,0.048,0.033,0.062,*66,
$GNGGA,140203.6,3004.227626,N,3101.282533,E,5,14,0.7,77.006,M,15.52,M,1,*64,$GNGST,140203.6,1.78,,,,0.048,0.033,0.062,*63,
$GNGGA,140203.8,3004.227502,N,3101.282411,E,5,14,0.7,76.996,M,15.52,M,1.2,*61,$GNGST,140203.8,1.827,,,,0.048,0.032,0.062,*6E,
$GNGGA,140204,3004.227375,N,3101.282278,E,5,14,0.7,77.02,M,15.52,M,1.4,*63,$GNGST,140204,1.819,,,,0.048,0.032,0.062,*6C,
$GNGGA,140204.2,3004.227245,N,3101.282149,E,5,14,0.7,77.031,M,15.52,M,0.6,*61,$GNGST,140204.2,1.735,,,,0.048,0.032,0.062,*6F,
$GNGGA,140204.4,3004.227107,N,3101.282017,E,5,14,0.7,77.065,M,15.52,M,0.8,*6B,$GNGST,140204.4,1.748,,,,0.048,0.032,0.061,*60,
$GNGGA,140204.6,3004.226973,N,3101.281887,E,5,14,0.7,77.065,M,15.52,M,1,*65,$GNGST,140204.6,1.761,,,,0.048,0.032,0.061,*69,
$GNGGA,140204.8,3004.226828,N,3101.281747,E,5,14,0.7,77.077,M,15.52,M,1.2,*6E,$GNGST,140204.8,1.737,,,,0.048,0.032,0.061,*64,
$GNGGA,140205,3004.226672,N,3101.281599,E,5,14,0.7,77.113,M,15.52,M,1.4,*61,$GNGST,140205,1.726,,,,0.048,0.032,0.061,*6D,
$GNGGA,140205.2,3004.22651,N,3101.281444,E,5,14,0.7,77.111,M,15.519,M,1.6,*61,$GNGST,140205.2,1.718,,,,0.048,0.032,0.061,*62,
$GNGGA,140205.4,3004.22633,N,3101.281285,E,5,14,0.7,77.137,M,15.519,M,0.8,*6C,$GNGST,140205.4,1.617,,,,0.047,0.032,0.061,*65,
$GNGGA,140205.6,3004.226135,N,3101.28112,E,5,14,0.7,77.161,M,15.519,M,1,*67,$GNGST,140205.6,1.622,,,,0.047,0.032,0.061,*61,
$GNGGA,140205.8,3004.225929,N,3101.280939,E,5,14,0.7,77.202,M,15.519,M,1.2,*63,$GNGST,140205.8,1.582,,,,0.047,0.032,0.061,*66,
$GNGGA,140206,3004.225704,N,3101.280756,E,5,14,0.7,77.229,M,15.519,M,1.4,*68,$GNGST,140206,1.537,,,,0.047,0.032,0.061,*63,
$GNGGA,140206.2,3004.225462,N,3101.280566,E,5,14,0.7,77.261,M,15.519,M,1.6,*6C,$GNGST,140206.2,1.499,,,,0.047,0.032,0.061,*64,
$GNGGA,140206.4,3004.225207,N,3101.280364,E,5,14,0.7,77.299,M,15.519,M,1.8,*63,$GNGST,140206.4,1.5,,,,0.047,0.032,0.061,*63,
$GNGGA,140206.6,3004.224934,N,3101.280161,E,5,14,0.7,77.329,M,15.519,M,2,*69,$GNGST,140206.6,1.489,,,,0.047,0.032,0.061,*61,
$GNGGA,140206.8,3004.224657,N,3101.279968,E,5,14,0.7,77.347,M,15.519,M,1.2,*65,$GNGST,140206.8,1.478,,,,0.047,0.032,0.06,*60,
$GNGGA,140207,3004.224388,N,3101.279766,E,5,14,0.7,77.391,M,15.519,M,1.4,*6C,$GNGST,140207,1.507,,,,0.047,0.032,0.06,*60,
$GNGGA,140207.2,3004.224129,N,3101.279583,E,5,14,0.7,77.445,M,15.519,M,0.6,*6E,$GNGST,140207.2,1.358,,,,0.047,0.032,0.06,*6E,
$GNGGA,140207.4,3004.223893,N,3101.279406,E,5,14,0.7,77.481,M,15.519,M,0.8,*6E,$GNGST,140207.4,1.328,,,,0.047,0.031,0.06,*6C,
$GNGGA,140207.6,3004.223681,N,3101.279227,E,5,14,0.7,77.512,M,15.519,M,1,*63,$GNGST,140207.6,1.328,,,,0.047,0.031,0.06,*6E,
$GNGGA,140207.8,3004.223465,N,3101.279048,E,5,14,0.7,77.546,M,15.519,M,1.2,*6D,$GNGST,140207.8,1.306,,,,0.047,0.031,0.06,*6C,
$GNGGA,140208,3004.22327,N,3101.278866,E,5,14,0.7,77.583,M,15.519,M,1.4,*63,$GNGST,140208,1.28,,,,0.047,0.031,0.06,*64,
$GNGGA,140208.2,3004.223096,N,3101.278675,E,5,14,0.7,77.619,M,15.519,M,1.6,*65,$GNGST,140208.2,1.31,,,,0.047,0.031,0.06,*6E,
$GNGGA,140208.4,3004.222943,N,3101.278485,E,5,14,0.7,77.642,M,15.519,M,0.8,*6D,$GNGST,140208.4,1.403,,,,0.047,0.031,0.06,*6D,
$GNGGA,140208.6,3004.222806,N,3101.278308,E,5,14,0.7,77.639,M,15.519,M,1,*63,$GNGST,140208.6,1.362,,,,0.047,0.031,0.059,*65,
$GNGGA,140208.8,3004.22268,N,3101.278126,E,5,14,0.7,77.629,M,15.519,M,1.2,*61,$GNGST,140208.8,1.355,,,,0.047,0.031,0.059,*6F,
$GNGGA,140209,3004.22257,N,3101.277944,E,5,14,0.7,77.631,M,15.519,M,1.4,*60,$GNGST,140209,1.344,,,,0.046,0.031,0.059,*67,
$GNGGA,140209.2,3004.222482,N,3101.277768,E,5,14,0.7,77.617,M,15.519,M,0.6,*60,$GNGST,140209.2,1.308,,,,0.046,0.031,0.059,*6D,
$GNGGA,140209.4,3004.2224,N,3101.27761,E,5,14,0.7,77.601,M,15.519,M,0.8,*65,$GNGST,140209.4,1.318,,,,0.046,0.031,0.059,*6A,
$GNGGA,140209.6,3004.222322,N,3101.277466,E,5,14,0.7,77.586,M,15.519,M,1,*6D,$GNGST,140209.6,1.318,,,,0.046,0.031,0.059,*68,
$GNGGA,140209.8,3004.222258,N,3101.27732,E,5,14,0.7,77.561,M,15.519,M,1.2,*66,$GNGST,140209.8,1.351,,,,0.046,0.031,0.059,*6B,
$GNGGA,140210,3004.222196,N,3101.277189,E,5,14,0.7,77.574,M,15.519,M,0.4,*67,$GNGST,140210,1.397,,,,0.046,0.031,0.059,*61,
$GNGGA,140210.2,3004.222138,N,3101.277073,E,5,14,0.7,77.574,M,15.519,M,0.6,*68,$GNGST,140210.2,1.395,,,,0.046,0.031,0.059,*61,
$GNGGA,140210.4,3004.22209,N,3101.276969,E,5,14,0.7,77.559,M,15.519,M,0.8,*62,$GNGST,140210.4,1.385,,,,0.046,0.031,0.059,*66,
$GNGGA,140210.6,3004.22204,N,3101.276874,E,5,14,0.7,77.56,M,15.519,M,1,*6B,$GNGST,140210.6,1.386,,,,0.046,0.031,0.059,*67,
$GNGGA,140210.8,3004.221987,N,3101.276776,E,5,14,0.7,77.549,M,15.519,M,1.2,*66,$GNGST,140210.8,1.389,,,,0.046,0.031,0.058,*67,
$GNGGA,140211,3004.221939,N,3101.276672,E,5,14,0.7,77.532,M,15.519,M,1.4,*6E,$GNGST,140211,1.43,,,,0.046,0.031,0.058,*6B,
$GNGGA,140211.2,3004.221882,N,3101.27656,E,5,14,0.7,77.54,M,15.519,M,1.6,*6D,$GNGST,140211.2,1.483,,,,0.046,0.03,0.058,*60,
$GNGGA,140211.4,3004.221814,N,3101.276442,E,5,14,0.7,77.548,M,15.519,M,0.8,*6D,$GNGST,140211.4,1.357,,,,0.046,0.03,0.058,*68,
